38,1
39,1
40,1
41,1
42,1
5,2
21,2
8,2
31,2
35,2
36,2
35,8
28,8
37,8
3,3
11,3
44,3
20,3
27,3
45,3
27,4
28,4
35,4
5,4
28,5
11,5
33,5
1,5
36,5
37,5
36,6
33,6
1,6
37,7
38,7
33,7
35,7
43,7
28,9
47,9
46,9
36,9
26,9
41,11
28,11
9,11
45,11
47,11
28,12
36,12
21,12
31,12
48,12
1,13
47,13
21,13
37,14
10,14
2,14
1,15
23,15
11,15
49,16
30,16
11,16
46,16
50,16
51,16
16,16
12,17
28,17
6,17
44,17
14,18
16,18
13,18
52,18
37,18
46,19
35,19
47,19
49,19
9,19
10,19
37,20
6,20
25,20
20,20
24,20
11,21
10,21
8,21
23,21
36,21
42,21
52,22
34,22
36,22
53,22
2,22
28,23
21,23
36,23
4,23
31,23
48,23
35,23
10,23
54,23
30,24
23,24
10,24
1,24
16,24
8,24
